k;silhouette_score;calinski_harabasz;linkage
2;0.06600458613647182;2.802960695446653;ward
3;0.06930049664198418;2.57035015533545;ward
4;0.0646954917240085;2.391772000746537;ward
5;0.0611742831776377;2.2694775393838507;ward
6;0.055158509441479465;2.1862057632316487;ward
7;0.05487013581136361;2.1542266557639715;ward
8;0.07030101699177987;2.1506912994059406;ward
9;0.07020617081542017;2.1445288766546797;ward
10;0.07018943779690374;2.121745808671564;ward
11;0.07386385538033713;2.097635234157084;ward
12;0.07915729577956622;2.076415484401867;ward
13;0.07430723768969343;2.071315377121128;ward
14;0.06579375359590113;2.0532551111876574;ward
15;0.05538467061666502;2.052669602701755;ward
16;0.05057416040962559;2.0659968220686733;ward
17;0.04177360543066974;2.0422624984725317;ward
18;0.03865879836367601;2.0282925158479905;ward
19;0.03303444290345082;2.035270024934677;ward
20;0.02768112539802316;2.0751191476352067;ward
21;0.023964841347529024;2.095619287905272;ward
22;0.018477459551648864;2.171683856388358;ward
23;0.014336990765191479;2.5361262278179617;ward
